artist,asin,media,review_count,star_rating,title,year
Fear My Thoughts,B000219KTY,"Audio CD,MP3 Music",6,4.6,The Great Collapse,2004
Various Artists,B000042O2X,Audio CD,6,4.6,Metal for Muthas Vol.1,2000
"Turilli, Luca",B00002S83X,Audio CD,6,4.6,Ancient Forest of Elves,1999
Nightingale,B00000I7FE,"Audio CD,MP3 Music,Audio CD",6,4.6,Breathing Shadow,2003
Angra,B00000ID2Q,Audio CD,27,4.1,Fireworks,1999
Siggi Schwarz,B08QBMQ34C,"Audio CD,MP3 Music",7,4.5,The Fire Inside,2021
All Things Fallen,B08CWM8PZX,"Audio CD,MP3 Music",7,4.5,All Things Fallen,2020
Textures,B00133FON6,Audio CD,7,4.5,Silhouettes,2008
Vox Tempus,B000BAVYFO,"Audio CD,MP3 Music",7,4.5,In the Eye of Time,2004
Riot,B00000C2GO,Audio CD,7,4.5,Shine on,1998
Various Artists,B000001C9Z,Audio CD,7,4.5,15th Anniversary Album Metal Blade,1997
Meshuggah/Dismember/Therion,B000000H2G,Audio CD,7,4.5,Voyager: Nuclear Blast 10 Year Anniversary,1998
Rhapsody,B0000636IF,"Audio CD,Audio CD",7,4.5,Power of the Dragon Flame,
Royal Hunt,B0000258E3,Audio CD,7,4.5,Moving Target,2003
Dio,B08NRXQ6JV,Audio CD,26,4.1,Aliens In Antwerp,2021
Kamelot,B00004TDV8,Audio CD,11,4.3,The Fourth Legacy,2000
The Murder of My Sweet,B09HG2V61G,"Audio CD,MP3 Music",11,4.3,A Gentleman's Legacy,2021
Novembers Doom,B00000K0KU,Audio CD,11,4.3,Sculptured Ivy & Stone Flowers,1999
To Mera,B0011GGOTI,Audio CD,11,4.3,Delusions,2008
Krallice,B001AQYPW2,"Audio CD,MP3 Music,Vinyl",11,4.3,Krallice,2008
Eryn Non Dae,B0026MEM40,"Audio CD,MP3 Music",4,4.9,Hydra Lernaia,2009
Force of Evil,B0001933AY,"Audio CD,MP3 Music",25,4.1,Force of Evil,2004
Kamelot,B00004XSS7,"Audio CD,MP3 Music",25,4.1,Expedition,2000
Drudkh & Winterfylleth,B09729HGD7,"Vinyl,MP3 Music",5,4.7,Thousands of Moons Ago / The Gates,2021
Fluids,B096TL87RQ,"Audio CD,MP3 Music",5,4.7,Not Dark Yet,2021
Blind Guardian Twilight Orchestra,B08LG22469,"Vinyl,MP3 Music",5,4.7,Legacy Of The Dark Lands Inkspot Yellow/Green Swirl,2020
Good Rats,B00004SRIY,Audio CD,5,4.7,Cover Of Night,2000
D’Accord,B00I46IPZY,"Audio CD,MP3 Music,Vinyl",5,4.7,D'accord III, | 
Rush,B000LY2EBS,Vinyl,5,4.7,Rush Through Time,1982
Hellfueled,B0001NDIVO,"Audio CD,MP3 Music",5,4.7,Volume One,2004
Royal Hunt,B000009QTM,"Audio CD,MP3 Music",5,4.7,Moving Target,1998
Dopethrone,B07D298JLM,"Vinyl,Audio CD",5,4.7,III,2018
Nazxul,B002C2KAAY,"Audio CD,MP3 Music",5,4.7,Iconoclast,2009
Queensrÿche,B000E1Z6I6,Audio CD,5,4.7,Essential,2006
Saviour Machine,B00008MNYG,"Audio CD,MP3 Music",5,4.7,Live in Deutschland 2002,2003
Magnitude 9,B00005HT0T,"Audio CD,MP3 Music",5,4.7,Chaos to Control,2001
Various Artists,B000056F8C,Audio CD,5,4.7,Tribute to Helloween,2006
Galactic Cowboys,B00000AGAE,"Audio CD,MP3 Music",23,4.1,At the End of the Day,1998
Pestilence,B0000C0FIL,Audio CD,23,4.1,Consuming Impulse/Testimony Of The Ancients,2003
Zero Hour,B00009YXAK,"Audio CD,MP3 Music",8,4.4,Metamorphosis,2017
Dream Evil,B08H581KQK,Vinyl,8,4.4,Dragonslayer Trans Orange/Black Marble,2020
Megadeth,B00005V2U3,Audio CD,8,4.4,Rude Awakening,
Stonewall Noise Orchestra,B084QLXG2T,"Audio CD,MP3 Music,Vinyl",8,4.4,Deathtripper,2020
Ayreon,B00000B0KS,Audio CD,8,4.4,Final Experiment,2002
Rhapsody Of Fire,B000R7G79O,DVD,22,4.1,Visions From The Enchanted Lands [DVD],
Mob Rules,B00004C4NH,"Audio CD,MP3 Music",10,4.3,Savage Land,2000
Accept,B07GBMB414,"Audio CD,MP3 Music,Audio, Cassette",10,4.3,Blind Rage,2014
Apocalyptica,B000AA4HIQ,DVD,48,4,Apocalyptica: Live,
Savatage,B00001SVLL,Audio CD,13,4.2,Ghost in the Ruins - A Tribute to Criss Oliva,2000
Tiamat,B0000074H4,"Audio CD,MP3 Music,Vinyl",13,4.2,Gaia,
Dream Theater,B001VOD5FG,Audio CD,13,4.2,Falling Into Infinity,
Megadeth,B0002FQM9G,Audio CD,20,4.1,Cryptic Writing,2004
MacAbre,B00005Q5B3,"Audio CD,MP3 Music,Vinyl",20,4.1,Gloom,
Riot,B00000ILUT,"Audio CD,Vinyl",20,4.1,Brethren of the Long House,1999
Gordian Knot,B00007KSAB,"Audio CD,MP3 Music",43,4,Emergent,2017
Avantasia,B00005LMOK,Audio CD,40,4,Metal Opera,2001
Pretty Boy Floyd,B08CGDNMLY,"Audio CD,Vinyl",37,4,Crue Believers - A Tribute To Motley Crue,", et al."
The Gathering,B000AE8RYM,"Audio CD,MP3 Music,Vinyl",6,4.5,Accessories Rarities & B-Sides,2006
Jaded Star,B08HPY3XXY,"Audio CD,MP3 Music,Vinyl",9,4.3,Realign,2020
