artist,asin,media,review_count,star_rating,title,year,
Vader,B00004S5YJ,"Audio CD,MP3 Music,Vinyl",112,4.6,Litany,2000,
Running Wild,B000NJ9W52,"Audio CD,MP3 Music,Vinyl",113,4.6,Masquerade,2007,
Gwar,B000001C9P,"Audio CD,MP3 Music,Vinyl",113,4.6,Carnival Of Chaos,1997,
Megadeth,B006EWJTJQ,"Audio CD,Vinyl",110,4.6,Rust In Peace (Picture Disc),1990,
Gwar,B0009GX28C,"Audio CD,MP3 Music",24,4.8,Live From Mt Fuji,2005,
Blood,B0007YH6NS,"Audio CD,Vinyl",24,4.8,False Gestures for a Devious Public,2005,
Traitor,B079VRTX57,"Vinyl,MP3 Music,Audio CD",24,4.8,Knee-Deep In The Dead,2018,
Static-X,B0002GAADE,"Audio CD,MP3 Music",108,4.6,"Beneath, Between, Beyond",2004,
Ministry,B006NTMOOM,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",108,4.6,In Case You Didn't Feel Like Showing Up (Live),1990,
Napalm Death,B000003BVY,"Audio CD,MP3 Music,Audio, Cassette",39,4.7,Death By Manipulation,1991,
DevilDriver,B07G1ZS34J,"Vinyl,Audio CD",39,4.7,Beast Green & Purple Swirl,2018,
Toxik,B0B181VM91,"Vinyl,MP3 Music,Audio CD",39,4.7,Dis Morta,2022,
Motörhead,B000066NX5,"Audio CD,MP3 Music",105,4.6,The Very Best Of.,2002,
Artillery,B08Z9W54W6,"Vinyl,MP3 Music,Audio CD",104,4.6,X,2021,
Pantera,B0009OE9AO,Audio CD,103,4.6,Power Metal,1988,
Cats in Boots,B00401CO2W,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",104,4.6,Kicked & Klawed - Stickered Shrink,1989,
Annihilator,B00003OP9D,"Audio, Cassette,Audio CD",38,4.7,Criteria for a Black Widow,2000,
Ligeia,B000EDWL78,"Audio CD,MP3 Music",17,4.9,Your Ghost Is a Gift,2006,
Gwar,B00000E9RJ,"Audio CD,MP3 Music,Audio, Cassette",17,4.9,The Road Behind,,
Manowar,B006OH3SZC,"MP3 Music,Audio CD",98,4.6,Into Glory Ride,1983,
Burzum,B005AYSB3Y,"MP3 Music,Audio CD",97,4.6,Fallen (Special Colored Vinyl),2011,
Over Kill,B001RLD69I,"Vinyl,MP3 Music,Audio CD",95,4.6,Fuck You and Then Some,2009,
Sepultura,B000007UVL,"Audio CD,MP3 Music,Audio, Cassette",37,4.7,Blood Rooted,1997,
Napalm Death,B0000942KG,"Audio CD,MP3 Music",37,4.7,Noise for Music's Sake,2008,
Helloween,B000E1KNZW,Audio CD,37,4.7,Keeper of the Seven Keys 2,2006,
Helloween,B00005V2UB,"Audio CD,Audio CD",37,4.7,Keeper of the Seven Keys Pt.2,,
Sepultura,B000099O19,"Audio CD,MP3 Music,Vinyl",93,4.6,Roorback,2003,
Prong,B08FRWS7WD,"Vinyl,MP3 Music,Audio CD",93,4.6,Rude Awakening Limited Silver & Black Marble,2020,
Destruction,B000025ZOQ,"Audio CD,MP3 Music,Vinyl",93,4.6,Release from Agony,2010,
Children of Bodom,B0007KTBLC,"Audio CD,MP3 Music",23,4.8,Trashed Lost & Strung Out,2005,
Helloween,B000056O6Z,Audio CD,92,4.6,Master of the Rings,2008,
,B0BLQW2V91,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",23,4.8,Out Of The Abyss: Before Leviathan,,
Iron Maiden,B00B6IZCLC,"Vinyl,Audio CD",23,4.8,Women In Uniform - Twilight Zone,1990,
Cradle Of Filth,B006QGM334,Audio CD,92,4.6,Vempire Or Dark Faerytales In Phallustein (Picture Disc),2004,
Mayhem,B006N2028E,Audio CD,92,4.6,Chimera,2004,
Children of Bodom,B00064X8NQ,"DVD,MP3 Music,Audio CD",23,4.8,"Children of Bodom: Trashed, Lost and Strung Out [DVD] [2004]",,
Darkest Hour,B000QUUE6E,"Audio CD,MP3 Music,Vinyl",91,4.6,Deliver Us,2007,
Exciter,B0007R8EHC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",90,4.6,Long Live The Loud,2005,
Iron Maiden,B0056XBQN6,"Vinyl,Audio CD",90,4.6,Run To The Hills (Live),1985,
Six Feet Under,B0096U590G,"MP3 Music,Audio CD",88,4.6,Bringer Of Blood,2003,
Testament,B000BKJ5XC,"Audio CD,Vinyl",36,4.7,Live in London,2005,
Annihilator,B000055XVI,"Audio CD,Vinyl,Audio, Cassette",36,4.7,Carnival Diablos,2001,
Metallica,B000057L65,"Audio CD,Audio, Cassette",13,5,Wherever I May Roam,2008,
God Forbid,B0001CNQVC,"Audio CD,MP3 Music,Vinyl",86,4.6,Gone Forever,2004,
Death Angel,B0012E6R5U,"Audio CD,MP3 Music,Vinyl",84,4.6,Killing Season,2012,
DevilDriver,B0026J8LIG,"Audio CD,MP3 Music",83,4.6,Pray For Villains,2009,
The Exploited,B00008NGBY,"Audio CD,MP3 Music,Vinyl",83,4.6,Fuck the System,2003,
Wrathchild America,B000008MGX,"Audio CD,MP3 Music,Audio, Cassette",35,4.7,3-D,1991,
Morbid Angel,B000005855,Audio CD,35,4.7,Entangled in Chaos,2008,
Skyclad,B000006T88,"Audio CD,MP3 Music,Vinyl",35,4.7,Prince of the Poverty Line,,
Anvil,B00008EU6A,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",35,4.7,Strength of Steel,1987,
Christian Death,B0000256VB,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",35,4.7,Atrocities (Remastered+Enhanced),,
Gwar,B000003B25,"Audio CD,MP3 Music,Vinyl",81,4.6,This Toilet Earth,,
Mayhem,B006N2DCSG,"MP3 Music,Audio CD",81,4.6,Ordo Ad Chao,2007,
Saint Vitus,B006RC09KQ,"MP3 Music,Audio CD",80,4.6,Born Too Late / Saint Vitus,2011,
Devastation,B00002DD8M,"Audio CD,MP3 Music,Vinyl",22,4.8,Signs Of Life,,
Crucified,B0026LYM6O,"Audio CD,MP3 Music",22,4.8,Complete Collection,2009,
Destruction,B08PJWKSC3,"Vinyl,MP3 Music,Audio CD",22,4.8,Sentence Of Death Splatter,2021,
TANTARA,B009FLSJOO,"Vinyl,MP3 Music,Audio CD",22,4.8,Based On Evil,2013,
Destruction,B000KHYOLO,"Audio CD,MP3 Music",22,4.8,Thrash Anthems,2007,
Atrophy,B09QFM8HKZ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",22,4.8,Violent By Nature,2022,
URN,B07VCML4YQ,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",22,4.8,Iron Will Of Power,2019,
Saint Vitus,B006QQGHD6,"Vinyl,Audio CD,Vinyl",22,4.8,V (Original Edition),1989,
Over Kill,B002R9Q99I,Audio CD,22,4.8,Wrecking Everything: Live,2009,
Various Artists,B000GWBO8Y,Audio CD,22,4.8,Kerrang: The Album,2006,
Accused,B000003C54,"Audio, Cassette,MP3 Music,Audio CD",22,4.8,Return of Martha Splatterhead,1990,
Iced Earth,B000005HNO,"Audio CD,MP3 Music,Vinyl",79,4.6,Days Of Purgatory,2012,
Lisa Samson,B008HSRRPI,"MP3 Music,Audio CD",79,4.6,Head On,1980,
Summoning,B005AZRBIO,"MP3 Music,Audio CD",34,4.7,Nightshade Forests (Picture Disc),2010,
Exorcist,B001OO26MQ,"Audio CD,Audio CD,Vinyl",34,4.7,Nightmare Theatre,1999,
Death By Stereo,B0009G3BBK,"Audio CD,MP3 Music",16,4.9,Death for Life,2005,
