artist,asin,media,review_count,star_rating,title,year,
Birds of Prey,B000FS9LCA,"Audio CD,MP3 Music",6,4.6,Weight of the Wound,2006,
Jungle Rot,B000FGG706,"Audio CD,MP3 Music,Vinyl",16,4.2,Warzone,2006,
Dark Funeral,B00000AZV1,Audio CD,6,4.6,Secrets of the Black Arts,,
Sentenced,B000005HO3,Audio CD,6,4.6,Story: A Recollection,1998,
Disavowed,B08K5F32LT,"Audio CD,MP3 Music",6,4.6,Revocation of the Fallen,2020,
Mental Cruelty,B088BBJQWW,"Audio CD,Audio CD",6,4.6,Purgratorium,2018,
Elffor,B07SBRTZSS,"Audio CD,Audio CD",6,4.6,Elffor From The Throne Of Hate (Cd),,
Blut Aus Nord,B07S1KBMNV,"Audio CD,Audio CD",6,4.6,Blut Aus Nord / P.H.O.B.O.S. Triunity (Digipak Cd),,
Soulburn,B071FRKQKT,"Audio CD,Vinyl",6,4.6,Feeding On Angels -Ltd. Edition Picture Disc Vinyl LP,1998,
Waking the Cadaver,B01N3ZDP4U,"Audio CD,MP3 Music",6,4.6,Real-Life Death,2013,
Marduk,B00CGS8B5K,"Audio CD,Vinyl",6,4.6,Blackcrowned,2002,
Metallica,B00BQTXS7Q,"Audio CD,Vinyl",6,4.6,Jump In The Fire (Red Vinyl),1987,
Henry Rollins,B004WYBV4E,"MP3 Music,Audio CD",6,4.6,Sweatbox,1989,
Necros Christos,B004U7K55O,"Audio CD,MP3 Music",6,4.6,Doom of the Occult,2011,
Altar,B004J8GJHW,"Audio CD,MP3 Music",6,4.6,In the Name of the Father,2011,
Brodequin,B003YCL6KY,"Vinyl,Audio CD",6,4.6,Methods of Execution,2009,
This Ending,B001O2ZVT8,"Audio CD,MP3 Music",6,4.6,Dead Harvest,2009,
Blood Duster,B0016AK39Q,"Audio CD,MP3 Music",6,4.6,Fisting the Dead / Yeest,2008,
,B000PG8KWO,Audio CD,6,4.6,Bloodrock,,
SOLSTICE,B000OION9W,"Audio CD,MP3 Music",6,4.6,Halcyon,2007,
Lord Belial,B000OCZBV2,Audio CD,6,4.6,Revelation: 7th Seal,2007,
Head Wound City,B000BJS8E0,"Audio CD,MP3 Music,Vinyl",6,4.6,Head Wound City,2005,
Wizard,B0009S2GGY,"Audio CD,MP3 Music",6,4.6,magic circle -ltd-,,
Fear My Thoughts,B000219KTY,"Audio CD,MP3 Music",6,4.6,The Great Collapse,2004,
His Hero Is Gone,B0000DEQ6P,"Audio CD,Audio CD",6,4.6,Monuments to Thieves,1997,
Pyogenesis,B00008F9BO,Audio CD,6,4.6,Pyogenesis,1993,
Messiah,B00006JYIM,"Audio CD,MP3 Music,Vinyl",6,4.6,Hymn to Abramelin,2003,
Nightingale,B00000I7FE,"Audio CD,MP3 Music,Audio CD",6,4.6,Breathing Shadow,2003,
Threat Signal,B002F1JMGU,"Audio CD,MP3 Music",27,4.1,Vigilance,2012,
The Red Shore,B0042AEOGU,"Audio CD,MP3 Music",7,4.5,The Avarice Of Man,2010,
Deeds of Flesh,B001HCQVZ8,"Audio CD,MP3 Music",7,4.5,Of What's To Come,2010,
Epoch Of Unlight,B0007NBAFO,"Audio CD,MP3 Music",7,4.5,Continuum Hypothesis,2005,
Candlemass,B0000087G1,"Audio CD,Vinyl",7,4.5,Dactylis Glomerata,1998,
Bathory,B000069B40,"Audio CD,MP3 Music,Audio, Cassette",7,4.5,Katalog,2003,
MASACRE,B00ITAQ3AE,"Audio CD,MP3 Music",7,4.5,Reqviem,2014,
