artist,asin,media,review_count,star_rating,title,year,
Drunk Horse,B00002JXEW,Audio CD,5,5,Drunk Horse,1999,
Anthrophobia,B00002EPUP,"Audio CD,MP3 Music",5,5,In the Zero to 3 Movement,2010,
Fury In The Slaughterhouse,B000025WO5,"Audio CD,MP3 Music",5,5,Hook a Hey,2006,
Regurgitator,B000025296,"Audio CD,MP3 Music,Vinyl",5,5,Unit,,
Fury In The Slaughterhouse,B000024ZV9,"Audio CD,MP3 Music",5,5,Nowherefast,2018,
Sentenced,B00000G6KO,Audio CD,5,5,Frozen,1999,
Va-Creepy Crawl Live,B000005VR8,"Audio CD,MP3 Music",5,5,Creepy Crawl Live,1997,
Disturbed,B0000TG8WK,"Audio CD,MP3 Music",48,4.2,Music As a Weapon II,2004,
Danzig,B00005JH79,"Audio CD,Audio CD",48,4.2,Live on the Black Hand Side,2001,
Operus,B0875ZJMR8,"Audio CD,MP3 Music",9,4.6,Score Of Nightmares,2020,
Lana Lane,B0001Y1JSC,"Audio CD,MP3 Music",9,4.6,Winter Sessions,2004,
Godhead,B001EKUHWG,"Audio CD,MP3 Music",9,4.6,At the Edge of the World,2008,
Life Of Agony,B00004WF7D,"Audio CD,MP3 Music,Vinyl",9,4.6,Unplugged at the Lowlands Festival 97,2000,
Ratos de Porao,B000GW8QAS,"Audio CD,MP3 Music",9,4.6,Homem Inimigo,2006,
Jacobs Dream,B00005K21M,"Audio CD,MP3 Music",9,4.6,Theater of War,2001,
Leather Strip,B0000071JB,"Audio CD,MP3 Music",9,4.6,Underneath the Laughter,1994,
Aborted,B0095NG3WW,"MP3 Music,Audio CD",9,4.6,Engineering The Dead,2001,
Temple of the Dog,B008IMMZ9G,Audio CD,9,4.6,Hunger Strike (Picture Disc),1992,
After Forever,B000BM3ZRM,Audio CD,9,4.6,Being Everyone,2005,
,B000077VSK,"VHS Tape,DVD",48,4.2,Live [VHS],,
Korn,B00005AVR5,Audio CD,9,4.6,Issues,2001,
Speak No Evil,B00000J2UF,"Audio CD,MP3 Music",9,4.6,Speak No Evil,1999,
Bobaflex,B0000AM6I7,"Audio CD,MP3 Music",23,4.3,Primitive Epic,2003,
Orgy,B000AAF1YK,DVD,23,4.3,Orgy: Trans Global Spectacle,,
Burn Season,B000BCKFLG,Audio CD,23,4.3,Burn Season,2005,
Downset,B0001MDP72,"Audio CD,MP3 Music",23,4.3,Universal,2004,
Skinlab,B000AAVF40,"Audio CD,MP3 Music",23,4.3,Revolting Room,,
Various Artists,B0000668BJ,Audio CD,15,4.4,WWE Tough Enough 2,2002,
Most Precious Blood,B000AQ68YQ,"Audio CD,MP3 Music",15,4.4,Merciless,2007,
Bride,B004IEIVSC,"Audio CD,Audio, Cassette",15,4.4,Show No Mercy,2011,
Skrew,B000003ACB,"Audio CD,MP3 Music",15,4.4,Shadow of Doubt,1996,
Dead to Fall,B00006HCVL,"Audio CD,MP3 Music,Vinyl",15,4.4,Everything I Touch Falls To Pieces,2002,
Mortification,B00000G4MD,Audio CD,15,4.4,Mortification: Scrolls of the Megaloth,2003,
Daniel Johnston,B00A6L3Z00,"MP3 Music,Audio CD",15,4.4,1990,1990,
Dwarves,B00000I14V,Audio CD,22,4.3,SUGARFIX/THANK HEAVEN FOR ...,1999,
Disturbed,B07PHH9D4X,Audio CD,11,4.5,Disturbed: Complete Studio Album Discography - 7 CDs + Bonus Art Card,,
Carnal Savagery,B08VCH8WKB,"Audio CD,MP3 Music",11,4.5,Fiendish,2021,
Kanaan,B097STF14K,"Vinyl,MP3 Music,Audio CD",11,4.5,Earthbound,2021,
Digital Summer,B000OYCBXG,"Audio CD,MP3 Music",11,4.5,Cause & Effect,2007,
Human Fortress,B08M2LLC3P,"Audio CD,MP3 Music,Vinyl",11,4.5,Epic Tales & Untold Stories,2021,
Bobaflex,B000AMXTYM,"Audio CD,MP3 Music",22,4.3,Apologize For Nothing,2005,
Living Colour,B001EZ1284,DVD,22,4.3,Living Colour - The Paris Concert,,
Amen,B00023GGD0,"Audio CD,MP3 Music",22,4.3,Death Before Musick,2004,
Throw the Fight,B0019M83P2,"Audio CD,MP3 Music",11,4.5,In Pursuit of Tomorrow,2008,
Turmoil,B00000IM3S,"Audio CD,MP3 Music",11,4.5,Process Of...,1999,
スリップノット,B008FRF046,Audio CD,11,4.5,オール・ホープ・イズ・ゴーン,2012,
The Go-Betweens,B007PV25PK,Audio CD,22,4.3,The Friends Of Rachel Worth,2000,
Skinlab,B004QEZE8O,"Audio CD,MP3 Music",11,4.5,The Scars Between Us,2011,
Nickelback,B000O76PIK,Audio CD,11,4.5,Long Road,2007,
Rasmus,B0007GFFIE,"Audio CD,Audio CD",22,4.3,Hellofacollection,,
L'Âme Immortelle,B00066VMNM,"Audio CD,MP3 Music,Vinyl",11,4.5,Wenn Der Letzte Scha,2004,
Linkin Park,B0000DESK2,"Audio CD,Audio CD",11,4.5,In the End Live and Rare,,
Infectious Grooves,B00008FRU2,"Vinyl,MP3 Music,Vinyl",11,4.5,The Plague That Makes Your Booty Move... It's The Infectious Grooves,1991,
Afghan Whigs,B009N8EZYM,"MP3 Music,Audio CD",43,4.2,Up In It,1990,
Sigur Rós,B009KXWFHE,"MP3 Music,Audio CD",42,4.2,Ba Ba Ti Ki Di Do,2004,
,B000KEG8W0,DVD,21,4.3,"The Family Values Tour, 2006 [DVD]",,
Scar Culture,B00005QDEQ,"Audio CD,MP3 Music",21,4.3,Inscribe,2001,
Diecast,B000305ZWK,"Audio CD,MP3 Music",40,4.2,Tearing Down Your Blue Skies,2004,
Unida / Dozer,B000EBEJMU,Audio CD,14,4.4,Unida,2006,
Bleeding Through,B00023E8L2,DVD,14,4.4,"This Is Live, This Is Murderous, The Show Must Go Off!",,
Autograph,B08LG2246D,"Vinyl,MP3 Music,Audio CD",14,4.4,Buzz Neon,2020,
