artist,asin,media,review_count,star_rating,title,year
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008
Graveyard,B007VMSF6G,"Vinyl,MP3 Music,Audio CD",123,4.9,Graveyard,2012
The Devil Wears Prada,B003TTZSWO,"Audio CD,MP3 Music",120,4.9,Zombie EP,2010
Audioslave,B00376AWFM,"Vinyl,Audio CD",119,4.9,Audioslave Ogv,2011
Terror,B003XQE0JU,"Audio CD,MP3 Music,Vinyl",90,5,Keepers Of The Faith DIGI,2012
Def Leppard,B000001FKY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4009,4.9,Hysteria,1987
Rammstein,B073G3ZLDJ,"Vinyl,MP3 Music,Audio CD",2883,4.9,Mutter,2017
Ice Nine Kills,B07Q2DK688,"MP3 Music,Audio CD",1579,4.9,The Silver Scream - Exclusive Limited Edition Red Smoke 2XLP Colored Vinyl [Condition-VG+NM],
Sabaton,B01GUBRPB4,"Audio CD,Audio DVD",1255,4.9,The Last Stand,2016
Iron Maiden,B00MGAE15C,"Vinyl,Audio CD",1197,4.9,Live After Death,2014
White Zombie,B007K57TY8,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1193,4.9,La Sexorcisto: Devil Music Volume 1,2017
Spite,B071W94LQQ,"Audio CD,MP3 Music",71,5,Nothing Is Beautiful,2017
Death,B01DD5N2KS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1054,4.9,Scream Bloody Gore,2016
Death,B00M1SRB5Q,"Vinyl,MP3 Music,Audio CD",1035,4.9,Spiritual Healing,2014
Slayer,B00EFFVZ2S,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",924,4.9,South Of Heaven,2013
Coheed and Cambria,B00026KPA2,"Audio CD,Paperback",893,4.9,"In Keeping Secrets of Silent Earth, Vol. 3",2006
King Gizzard & the Lizard Wizard,B08LNLCJ73,"Audio CD,MP3 Music,Vinyl",680,4.9,Infest The Rats' Nest,2020
Band-Maid,B01N2VNP2X,"Audio CD,MP3 Music,Vinyl",621,4.9,Just Bring It,2017
Brand New,B074ZX8N2Q,"Vinyl,MP3 Music,Audio CD",571,4.9,Science Fiction,2017
Sabaton,B01GUBRPKK,"Vinyl,MP3 Music,Audio CD",559,4.9,The Last Stand,2016
Erra,B00IKM5N98,"Vinyl,MP3 Music,Audio CD",117,4.9,Augment,2014
Steve Vai,B006N95LT2,"Audio CD,MP3 Music,Vinyl",117,4.9,Where the Order Wild Things Are,2011
