artist,asin,media,review_count,star_rating,title,year
Ozzfest Live 1997,B000006M9X,Audio CD,11,4.6,"OzzFest, Vol. 1: Live",1997
Saxon,B0002MFG3C,DVD,11,4.6,Saxon: Live Legends [DVD],
Samson,B000008KE3,"Audio CD,Audio CD,Audio, Cassette",11,4.6,Survivors,2000
Uriah Heep,B000001F7H,"Audio CD,Vinyl,Audio, Cassette",37,4.3,The Best of Uriah Heep,1989
Judas Priest,B00000BKJ9,"Audio CD,Audio, Cassette",35,4.3,98 Live Meltdown,1998
Girlschool,B0055SWXWK,"Audio CD,Vinyl",14,4.5,Race With The Devil,
Anvil,B004JKMC0S,"Audio CD,MP3 Music,Audio CD",14,4.5,Back To Basics,2011
Judas Priest,B000005RQA,"Audio CD,Vinyl",14,4.5,Priest In The East,1998
Deep Purple,B000091F0L,"Vinyl,Audio CD",19,4.4,House of Blue Light,2012
Devil Master,B09TQFV23D,"Audio CD,MP3 Music,Vinyl",32,4.3,Ecstasies of Never Ending Night,2022
3 Inches of Blood,B002J0QDSC,"Audio CD,MP3 Music,Vinyl",32,4.3,Here Waits Thy Doom,2012
Iron Maiden,B00004RETH,"DVD,VHS Tape",99,4.2,Iron Maiden: Raising Hell [DVD],
,6303023347,"VHS Tape,DVD",99,4.2,Raising Hell,
Captain Funk,B000V9KF14,"Audio CD,Vinyl",97,4.2,Heavy Metal,2007
Deep Purple,B000006Y3Z,Audio CD,31,4.3,On The Wings Of A Russian Foxbat,1998
UFO,B0000CG47V,Audio CD,13,4.5,Live on Earth: Vienna Cleveland Cincinatti,
Whitesnake,B000OMD3XK,Audio CD,13,4.5,Love Hunter,2007
Bitches Sin,B00006ALGT,"Audio CD,MP3 Music,Audio CD,Vinyl",13,4.5,Predator,2002
Iron Maiden,B000063DGG,"Audio CD,Audio CD,Audio, Cassette",13,4.5,Real Live One,2002
Black Sabbath,B000LZ54G4,Audio CD,7,4.8,Master of Reality,2007
Black Sabbath,B0006SKV28,"Vinyl,Audio CD",18,4.4,"Black Sabbath, Vol. 4",2005
Motörhead,B0000005SW,Audio CD,7,4.8,Blitzkrieg on Birmingham 77,1994
Motörhead,B00008DYSN,Audio CD,10,4.6,The Complete Best Of Motorhead,
UFO,B00004TRF9,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",29,4.3,Ain't Misbehavin',2001
Ozzy Osbourne,B000LP4PHI,DVD,79,4.2,Ozzy Osbourne: The Ultimate Ozzy,
Various Artists,B0001XAS3U,Audio CD,8,4.7,Guitar Rock: Hard & Heavy,", et al."
Led Zeppelin,B00005HE93,Audio CD,8,4.7,Complete Studio Sessions,
Halford,B001EC6K0M,"DVD,Blu-ray,DVD",68,4.2,Halford:Live at Rock in Rio III,
Uriah Heep,B0000DENYK,"Audio CD,Audio CD",8,4.7,Future Echoes of the Past,
Deep Purple,B00005V3G1,Audio CD,8,4.7,Singles,2002
UFO,B00000J20P,Audio CD,12,4.5,UFO - BBC The Archive Series: In Session and Live in Concert,2000
Deep Purple,B000056N6T,Audio CD,12,4.5,New Life & Rare: Bootleg Series 1984-2000,2001
Deep Purple,B0018KKPOM,Audio CD,12,4.5,Purpendicular,2008
Deep Purple,B00000I7AT,Audio CD,25,4.3,Nobody's Perfect (Limited Edition),
Uriah Heep,B0000074PB,Audio CD,16,4.4,Live 1973,1998
Uriah Heep,B000QRI4G4,Audio CD,16,4.4,Loud Proud & Heavy: Best of,2007
Venom,B00005TQ36,"Audio CD,MP3 Music",16,4.4,In League with Satan,2002
Deep Purple,B0000549XK,Audio CD,16,4.4,Anthems,2000
Roger Glover,B000Q66H0A,DVD,24,4.3,Deep Purple - They All Came Down To Montreux: Live At Montreux 2006,", et al."
Deep Purple,B00000JBFZ,Audio CD,24,4.3,Nobody's Perfect,1999
SPARTAN WARRIOR,B002EIJ96W,Audio CD,5,5,Spartan Warrior,2009
Grim Reaper,B0018KKPRO,Audio CD,5,5,Fear No Evil,2008
Deep Purple,B000096H1U,Audio CD,5,5,Kneel & Pray,
Ozzy Osbourne,B00005ULGY,Audio CD,5,5,Dreamer,2002
Deep Purple,B000006Y3P,Audio CD,5,5,Family Album,1998
Al Atkins,B002CO5ANY,Audio CD,9,4.6,Demon Deceiver Plus,2009
Deep Purple,B00005NB39,"Audio CD,MP3 Music,Vinyl",48,4.2,Book of Taliesyn,2006
Venom,B000G6TD7Y,"Audio CD,MP3 Music,Audio CD",9,4.6,Temples of Ice,1991
Deep Purple,B000051W24,"DVD,VHS Tape",9,4.6,Bombay Calling [DVD],
,B000050IKT,"VHS Tape,DVD",9,4.6,Bombay Calling [VHS],
Samson,B00004NRU6,"Audio CD,MP3 Music,Vinyl",9,4.6,Survivors,2002
Thin Lizzy,B000001LGH,Audio CD,9,4.6,BBC Radio 1 Live,1994
Motörhead,B00000JWPJ,"Audio CD,Audio CD",23,4.3,Ace of Spades,1999
Thin Lizzy,B000003HGF,Audio CD,15,4.4,The Peel Sessions,1994
Malcolm Arnold,B00008HCB7,"DVD,Multi-Format",45,4.2,Deep Purple - Concerto for Group and Orchestra (In Concert with the Royal Philharmonic Orchestra),", et al."
Various Artists,B000006BBS,Audio CD,11,4.5,Chronicles 70's Rock Classics,
Deep Purple,B000CSUUL4,Audio CD,21,4.3,Fireball,2006
Uriah Heep,B000CEVUXU,Audio CD,21,4.3,Between Two Worlds,2005
Raven,B00004T4AM,Audio CD,14,4.4,One for All,2000
Judas Priest,B000B9PW76,DVD,253,4.1,Judas Priest - Rising in the East,
Stray,B000MQ4YX6,"Audio CD,MP3 Music,Vinyl",7,4.7,Houdini,2007
Iron Maiden,B000GUK6ZS,Audio CD,7,4.7,Virtual Eleven,
Girlschool,B000FUU2NA,"Audio CD,MP3 Music",7,4.7,Nightmare at Maple Cross / Take a Bite,2007
Thin Lizzy,B00007DXIB,Audio CD,7,4.7,Jailbreak,2003
Motörhead,B00005NHO0,"Audio CD,MP3 Music",7,4.7,All the Aces,2001
Gong,B00006J9NY,Audio CD,6,4.8,Bedrock in Concert Bonus,2002
Uriah Heep,B000FI8TBE,Audio CD,6,4.8,Salisbury,2007
Motörhead,B00005J8O6,Audio CD,6,4.8,I Got Mine Live,2004
Judas Priest,B00092QU0S,Audio CD,19,4.3,Ram It Down,2005
Legend,B000094JLP,"Audio CD,MP3 Music",10,4.5,Still Screaming,2003
Tygers of Pan Tang,B000056Q2I,Audio CD,10,4.5,Live at Nottingham Rock City,
Black Sabbath,B00004Y3CQ,Audio CD,10,4.5,The Singles: 1970-1978,2000
Uriah Heep,B00000J7P2,"Audio CD,MP3 Music,Vinyl",13,4.4,Spellbinder,1999
Iron Maiden,B0015YEKBK,Audio CD,8,4.6,Somewhere Back in Time: The Best of 1980-1989,
Judas Priest,B00000719N,Audio CD,8,4.6,Collection,
Deep Purple,B000EPFPZQ,Audio CD,8,4.6,Live in Europe 1993,2006
Novembers Doom,B0007NBAEK,"Audio CD,MP3 Music",18,4.3,The Pale Haunt Departure,2005
Ian Gillan,B00000J7OX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",18,4.3,Scarabus,1999
UFO,B000001LJX,Audio CD,5,4.9,Parker's Birthday,1996
Tygers of Pan Tang,B0000074M1,"Audio CD,MP3 Music,Vinyl",29,4.2,Cage,
Quartz,B00013TBSI,"Audio CD,Vinyl",29,4.2,Stand Up & Fight,2004
Various Artists,B00001SIF8,"Audio CD,MP3 Music",17,4.3,Rock: The Train Kept A Rollin',1999
UFO,B00005QX7Q,"Audio CD,Vinyl",17,4.3,Regenerator,2002
Tygers of Pan Tang,B003RBDSDU,"Vinyl,MP3 Music,Audio CD",17,4.3,Crazy Nights (German Import),
MASTER BOOT RECORD,B09VCF43F4,"Vinyl,MP3 Music,Audio CD",12,4.4,PERSONAL COMPUTER,2022
Ozzy Osbourne,B00009OYRR,"Audio CD,Vinyl,Audio, Cassette",12,4.4,Ozzy,2007
Black Sabbath,B000006ZDN,"Audio CD,Vinyl",12,4.4,The Sabbath Collection,1998
Deep Purple,B000006Y3K,Audio CD,12,4.4,Child in Time,1998
Motörhead,B0000040L8,Audio CD,12,4.4,Welcome to the Bear Trap,1991
Black Sabbath,B000M5B7M8,DVD,12,4.4,Black Sabbath: Up Close & Personal,
Deep Purple,B00074C4NK,Audio CD,27,4.2,Burn 30th Anniv.Edition,2008
Raven,B000009OT3,"Audio CD,Vinyl,Audio, Cassette",16,4.3,Pack Is Back,1998
Praying Mantis,B00004S3MO,"Audio CD,MP3 Music",26,4.2,Forever in Time,
Black Sabbath,B002JIEYKI,"Vinyl,Audio CD",26,4.2,Sabbath Bloody Sabbath,2009
Deep Purple,B0000JBAO6,DVD,26,4.2,Deep Purple - Masters From the Vaults [DVD],
UFO,B000001LGP,Audio CD,9,4.5,BBC Radio 1 Live,1995
GMT,B000IB0C9K,Audio CD,9,4.5,Bitter & Twist,2008
Deep Purple,B000006Y41,Audio CD,9,4.5,Progression,2007
Saxon,B000006TSG,"Audio CD,MP3 Music",24,4.2,Collection of Metal,1999
Deep Purple,B002B4GFWU,Audio CD,24,4.2,Live at Long Beach 1976,
Judas Priest,B00005V2TM,Audio CD,24,4.2,Rocka Rolla,2002
Judas Priest,B00000882V,Audio CD,11,4.4,Priest Live & Rare Japan,1999
Uriah Heep,B000FI8TB4,Audio CD,11,4.4,First,2007
The Reign of Terror,B00008CR4O,Audio CD,11,4.4,Conquer and Divide,2003
Paul DiAnno,B000EWBMR4,"Audio CD,MP3 Music",15,4.3,Living Dead,2006
Budgie,B000000131,Audio CD,23,4.2,Ecstasy of Fumbling,1997
Judas Priest,B0002CHQZS,"Audio CD,Vinyl",23,4.2,Turbo,2007
UFO,B0000074NM,"Audio CD,Vinyl",6,4.7,UFO 2: Flying,
Motörhead,B00000IWWW,Audio CD,6,4.7,Golden Years: Alternate Versions,1999
Black Sabbath,B0029LCRHC,Audio CD,6,4.7,Vol.4,2009
Praying Mantis,B000BRHQIG,"Audio CD,MP3 Music",6,4.7,Captured Alive in Tokyo City,1996
Saxon,B00027WN06,Audio CD,6,4.7,Strong Arm of the Law / Denim & Leather,2004
Girlschool,B00000DSPR,Audio CD,7,4.6,Live: Girlschool,1998
Uriah Heep,B000008LWU,"Audio CD,Audio, Cassette",7,4.6,Live in Moscow,
Venom,B000001C6J,"Audio CD,Vinyl",7,4.6,New Wave Of British Heavy Metal SET,1994
Ian Gillan,B000006M46,"Audio CD,MP3 Music",7,4.6,Gillan Tapes 1,1998
Diamond Head,B00002MOUF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",22,4.2,Behold the Beginning,1999
Deep Purple,B00005A0KD,Audio CD,22,4.2,In Concert 70-72,2001
,6301795245,"VHS Tape,DVD",48,4.1,Maiden England VHS,
Diamond Head,B003DTZLH2,"Audio CD,MP3 Music,Audio, Cassette",14,4.3,Borrowed Time,
Vardis,B002JH8IUQ,"Audio CD,MP3 Music,Vinyl",14,4.3,World's Insane,2009
Grand Prix,B000FAOANI,"Audio CD,MP3 Music,Vinyl",14,4.3,There for None to See,2006
Various Artists,B0000080I4,Audio CD,4,5,Metallic-Era 1,2001
Uriah Heep,B000FI8TBY,"Audio CD,Audio CD",4,5,Demon & Wizards,2007
Ian Gillan,B00004U1EP,"Audio CD,MP3 Music",5,4.8,Gillan Tapes 3,2000
Black Sabbath,B00081R6R6,"Vinyl,Audio CD",4,5,Never Say Die!,2007
Ian Gillan,B0000084UG,"Audio CD,MP3 Music",10,4.4,Live at the Rainbow,1998
Blitzkrieg,B000006ZEH,"Audio CD,MP3 Music,Vinyl",4,5,Ten,
UFO,B0007TKG1W,"Audio CD,Audio CD",5,4.8,Flying 1970-1973,2005
Thin Lizzy,B00005KATN,"Audio CD,Audio, Cassette",10,4.4,Extended Versions,2001
Motörhead,B00000593I,Audio CD,4,5,Protect the Innocent,1998
Stray,B000MQ4YWM,"Audio CD,MP3 Music,Vinyl",5,4.8,Move It,2007
Demon,B000IHZJBU,Audio CD,5,4.8,Time Has Come: The Best of,2006
CHARIOT,B000E8M1V4,Audio CD,5,4.8,Behind the Wire,2006
Judas Priest,B00092QU12,Audio CD,8,4.5,Painkiller,2005
Uriah Heep,B0007TFIGK,DVD,20,4.2,Critical Review: Hensley Years - 1970-1976 [DVD],
Ian Gillan,B0000TWAI6,"Audio CD,MP3 Music",8,4.5,Live Wembley 17th December 1982,2004
Savage,B00007L4RE,"Audio CD,Audio CD",4,5,This Ain't No Fit Place: The Best of Savage,2003
Various Artists,B0000581RT,Audio CD,5,4.8,Marquee Metal,1993
Deep Purple,B00004YMKS,Audio CD,4,5,Live at the Royal Albert Hall (Tour Edit,
Venom,B00004UEPJ,"Audio CD,MP3 Music",10,4.4,Beauty & Beast,2000
,B00003G1GR,Audio CD,5,4.8,Can't Keep a Good Girl Down,
Aska,B00000IL9I,"Audio CD,MP3 Music,Vinyl",8,4.5,Nine Tongues,1999
Deep Purple,B0000088EV,"Audio CD,Audio CD",4,5,Purple Chronicle (Limited Edition),
Black Sabbath,B000001LCM,"Audio CD,Audio CD",19,4.2,Black Sabbath - Greatest Hits Griffin,1993
Deep Purple,6305898863,"DVD,VHS Tape",35,4.1,Deep Purple Live in Australia 1999 - Total Abandon,
,B00004XMW1,"VHS Tape,DVD",35,4.1,Total Abandon Live VHS,
Judas Priest,B00092QU0I,Audio CD,12,4.3,Priest Live,2005
Deep Purple,B000006Y3V,Audio CD,12,4.3,Last Concert in Japan,2001
Judas Priest,B000002Z1W,"Audio CD,Audio, Cassette",17,4.2,Prisoners Of Pain,1996
Venom,B0001BS3NO,"Vinyl,MP3 Music,Audio CD",17,4.2,Possessed,2004
Tygers of Pan Tang,B00005NOS4,"Audio CD,MP3 Music",9,4.4,Mystical,2004
Black Sabbath,B00005O0WH,Audio CD,9,4.4,Rock Champions,2001
Oliver-Dawson Saxon,B00177Z54Q,Audio CD,9,4.4,Re-Landed Plus,2008
Samson,B002DM365E,"Vinyl,Audio CD,Vinyl",9,4.4,Don't Get Mad - Get Even,
Deep Purple,B000F7NTOM,"Audio CD,Vinyl",9,4.4,Live at Royal Albert Hall,2006
Tygers of Pan Tang,B00009QI40,Audio CD,6,4.6,Live in the Roar,2003
Deep Purple,B00008BDNG,Audio CD,6,4.6,Book of Taliesyn,2003
Saxon,B000060KA3,Audio CD,6,4.6,Coming to the Rescue,2002
Blitzkrieg,B000065CTK,"Audio CD,MP3 Music",6,4.6,A Time of Changes- Phase 1,
Thin Lizzy,B000055XAT,"Audio CD,MP3 Music",6,4.6,Boys Are Back in Town, | 
UFO,B00004WZLY,Audio CD,6,4.6,Covenant,2000
Deep Purple,B0015GDG9A,Audio CD,16,4.2,Very Best of,2008
