artist,asin,media,review_count,star_rating,title,year
Sacramentum,B07G9N7TTH,"Vinyl,MP3 Music,Audio CD",1,5,Far Away From the Sun(Limited Edition German Import vinyl LP) vinyl 2013,
Abruptum,B07G228TW6,"Vinyl,Audio CD",1,5,De Profundis Mors Vas Cousumet,2018
Helrunar,B07FSRBMST,Vinyl,1,5,Mm.i. - Mm.xi. - Vier Wege Eines Winters,2018
Dimmu Borgir,B07FFZHJFH,Vinyl,4,3.8,Sonic Seducer 05-2018 mit 7 -Vinylsingle von Dimmu Borgir in blau-transparent 199 Exemplare Titelstory Dimmu Borgir + weitere Beilage,
Marduk,B07D4ZLG8H,Audio CD,1,5,Viktoria,2018
,B07CXYN8VH,"Audio CD,Audio CD",4,3.8,LP-DISASTROUS MURMUR-SKINNING BEGINNING -LP-,
Necrodeath,B07CCG1XJP,"Audio CD,MP3 Music",1,5,Black As Pitch re-release,2018
Darkthrone,B07BGTH9CB,Vinyl,1,5,Last Show Forever,
Megatomb,B07B16NSP2,Vinyl,1,5,Louder Than A Thousand Deaths,2018
Master's Hammer,B079V99298,"Audio CD,MP3 Music",1,5,Fascinator,
VLAD TEPES,B079QMPC2P,Audio CD,1,5,Celtic Poetry,
Sheidim,B079PDFH3G,"Vinyl,Audio CD",1,5,Shrines Of The Void,2018
ANTZAAT,B078Y6GQ2N,"Audio CD,MP3 Music,Vinyl",1,5,The Black Hand Of The Father,
Dam,B071KH28R4,"Audio CD,MP3 Music",1,5,Dabke On The Moon,2017
VON,B071D8LQ5L,Audio CD,1,5,"Dark Gods: Birth of The Architects (12"" Booklet Edition) (Ltd 500)",2017
Solstafir,B06XWPXJ9F,Audio CD,1,5,Live In Japan 2015 Limited,2017
FAEULNIS,B01MZCYYYZ,"Vinyl,Audio CD",1,5,Antikult,2017
Vietah,B01MV4V1R6,"Vinyl,MP3 Music",1,5,Czornaja Cvii,2017
Katavasia,B01MDNRZRV,"Audio CD,Vinyl",1,5,Sacrilegious Testament,2016
