Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
505,Kenrich Williams,PF,28,OKC,53,10,22.8,3.4,6.5,.517,0.9,2.5,.373,2.4,4.0,.608,.590,0.3,0.7,.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0,willike04
506,Mark Williams,C,21,CHO,38,12,17.8,3.4,5.4,.642,0.0,0.0,,3.4,5.4,.642,.642,1.4,2.1,.679,2.0,4.5,6.4,0.4,0.7,1.1,0.8,2.1,8.3,willima07
507,Patrick Williams,PF,21,CHI,73,62,28.5,3.8,8.2,.461,1.4,3.3,.417,2.4,4.9,.492,.545,1.2,1.3,.867,1.0,3.2,4.1,1.2,0.8,0.8,1.3,1.8,10.1,willipa01
508,Robert Williams,C,25,BOS,30,18,23.8,3.7,5.0,.742,0.0,0.0,.000,3.7,5.0,.747,.742,0.7,1.1,.647,3.0,5.5,8.5,1.5,0.6,1.2,0.9,2.0,8.2,williro04
509,Vince Williams Jr.,SG,22,MEM,11,0,4.7,0.4,1.3,.286,0.2,0.9,.200,0.2,0.4,.500,.357,0.0,0.0,,0.2,0.5,0.6,0.3,0.4,0.1,0.1,0.5,0.9,willivi01
510,Ziaire Williams,SF,21,MEM,36,3,14.7,2.1,4.9,.424,0.6,2.5,.247,1.5,2.4,.602,.486,0.4,0.5,.778,0.4,1.7,2.1,0.7,0.4,0.1,1.0,1.6,5.2,willizi02
511,Zion Williamson,PF,22,NOP,29,29,33.0,9.8,16.2,.608,0.2,0.7,.368,9.6,15.5,.618,.615,6.1,8.6,.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0,willizi01
512,Dylan Windler,SF,26,CLE,2,0,4.0,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,2.5,windldy01
513,Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,.409,0.5,1.6,.311,2.3,5.3,.438,.444,0.7,1.0,.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,winslju01
514,James Wiseman,C,21,TOT,37,14,18.4,4.1,7.2,.577,0.1,0.4,.250,4.0,6.7,.598,.585,1.3,1.9,.667,1.6,4.2,5.7,0.6,0.2,0.6,1.1,2.3,9.7,wisemja01
